Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C2",2,10uF,,,,footprint library:865080343009(10uf SMD capacitor),kicad-embed://865080343009(10uF).pdf
"C3,C4",2,1000uF,,,,footprint library:1mF capacitor,
C5,1,1uF,,,,"footprint library:MOLDED CAPACITORS, T50 _ T51 _ T55 _ T56 _ 04051 TYPES (DIMENSION -J 1uF)",kicad-embed://1uF capacitor.pdf
C6,1,100nF,,,,footprint library:100nF,
"D1,D2,D3",3,~,,,,footprint library:Standard 0603 SMD LED,kicad-embed://LED0603.pdf
D4,1,~,,,,footprint library:SS32 - S310(Schottky diode),kicad-embed://SS34-E3-57T.pdf
"H1,H5",2,~,,,,footprint library:12 pin femaile onnector,kicad-embed://Female_Headers.100_DS.pdf
"H2,H3,H4",3,~,,,,footprint library:2pin female header,kicad-embed://ssk02-fph-254(12 PIN HEADER).pdf
J1,1,~,,,,footprint library:USB MICRO TYPE B(SMT),kicad-embed://USB-CONNECTORS.pdf
M1,1,~,,,,footprint library:ESP-12,kicad-embed://esp-12f_product_specification_en.pdf
"Q1,Q2",2,~,,,,footprint library:BSS138(SOT−23 (TO−236) 2.90x1.30x1.00 1.90P),kicad-embed://BSS138-D.PDF
"R1,R5",2,10K,,,,footprint library:10k SMD RESISTER(RC0603)(1.6_0.8mm),kicad-embed://PYU-RC_GROUP_51_ROHS_L (10k resister).pdf
"R2,R3,R4",3,1K,,,,footprint library:SMD RESISTER(RCV2010 e3),kicad-embed://PYU-RC_GROUP_51_ROHS_L.pdf
SW1,1,~,,,,footprint library:PTS645 Tactile Switches(6mm),kicad-embed://pts645.pdf
TP1,1,3.2mm,,,,footprint library:mounting holes(3.2mm),
"TP2,TP3,TP4",3,~,,,,footprint library:mounting holes(3.2mm),
U1,1,~,,,,footprint library:AMS1117,kicad-embed://AMS1117.PDF
U2,1,~,,,,footprint library:12V DC JACK,kicad-embed://12v_DC_B_Jack.pdf
U3,1,~,,,,footprint library:CH340T,kicad-embed://CH340 (1).PDF
VR1,1,12v,,,,footprint library:Trimmer Potentiometer( SMD Open Type 2mm Size PVZ2A Series),kicad-embed://Potentiometers.pdf
Z1,1,5V5,,,,footprint library:zener diode(5v),kicad-embed://5v_Zener.pdf
